algorithm,merged_id,merge_size,target_example_id,budget_tokens,timing_repeats,runtime_sec,relative_utility_to_exact,total_chunks,total_cost_tokens,selected_chunks,total_selected_cost,budget_utilization,compression_ratio,total_selected_utility,gold_support_total,gold_support_selected,gold_support_recall,exact_gold_support_coverage
greedy_ratio,merge_10_2,10,5ac19f405542991316484b5b,8000,10,0.00020159990526735783,0.9996569497654283,460.0,8910.0,435.0,7988.0,0.9985,0.8965207631874299,99.49518126726198,2.0,2.0,1.0,1.0
greedy_refine,merge_10_2,10,5ac19f405542991316484b5b,8000,10,0.0043107999954372644,0.9999738688553873,460.0,8910.0,435.0,7999.0,0.999875,0.8977553310886645,99.52672401030992,2.0,2.0,1.0,1.0
exact_dp,merge_10_3,10,5ae22eae554299495565da30,2000,1,0.10396470013074577,1.0,463.0,7584.0,227.0,2000.0,1.0,0.26371308016877637,60.62656670442722,4.0,4.0,1.0,1.0
greedy_ratio,merge_10_3,10,5ae22eae554299495565da30,2000,10,0.0001916999462991953,1.0,463.0,7584.0,227.0,2000.0,1.0,0.26371308016877637,60.62656670442722,4.0,4.0,1.0,1.0
greedy_refine,merge_10_3,10,5ae22eae554299495565da30,2000,10,0.004055500030517578,1.0,463.0,7584.0,227.0,2000.0,1.0,0.26371308016877637,60.62656670442722,4.0,4.0,1.0,1.0
exact_dp,merge_10_3,10,5ae22eae554299495565da30,4000,1,0.2369086998514831,1.0,463.0,7584.0,327.0,4000.0,1.0,0.5274261603375527,82.06947291190649,4.0,4.0,1.0,1.0
greedy_ratio,merge_10_3,10,5ae22eae554299495565da30,4000,10,0.00019859988242387772,0.9994158765729291,463.0,7584.0,327.0,3994.0,0.9985,0.5266350210970464,82.02153421013128,4.0,4.0,1.0,1.0
greedy_refine,merge_10_3,10,5ae22eae554299495565da30,4000,10,0.007320200093090534,1.0,463.0,7584.0,327.0,4000.0,1.0,0.5274261603375527,82.06947291190649,4.0,4.0,1.0,1.0
exact_dp,merge_10_3,10,5ae22eae554299495565da30,8000,1,0.5597745000850409,1.0,463.0,7584.0,463.0,7584.0,0.948,1.0,100.79848461523476,4.0,4.0,1.0,1.0
greedy_ratio,merge_10_3,10,5ae22eae554299495565da30,8000,10,0.00021180021576583385,1.0,463.0,7584.0,463.0,7584.0,0.948,1.0,100.79848461523476,4.0,4.0,1.0,1.0
greedy_refine,merge_10_3,10,5ae22eae554299495565da30,8000,10,0.0014849998988211155,1.0,463.0,7584.0,463.0,7584.0,0.948,1.0,100.79848461523476,4.0,4.0,1.0,1.0
exact_dp,merge_10_4,10,5ab90d8955429916710eb0f1,2000,1,0.09667520015500486,1.0,462.0,8737.0,160.0,2000.0,1.0,0.22891152569531875,55.05469273096085,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_4,10,5ab90d8955429916710eb0f1,2000,10,0.0002001998946070671,0.9998390964640775,462.0,8737.0,160.0,1999.0,0.9995,0.2287970699324711,55.045834236231315,2.0,2.0,1.0,1.0
greedy_refine,merge_10_4,10,5ab90d8955429916710eb0f1,2000,10,0.010435699950903654,1.0,462.0,8737.0,160.0,2000.0,1.0,0.22891152569531875,55.05469273096085,2.0,2.0,1.0,1.0
exact_dp,merge_10_4,10,5ab90d8955429916710eb0f1,4000,1,0.23379050008952618,1.0,462.0,8737.0,270.0,4000.0,1.0,0.4578230513906375,78.77639206323038,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_4,10,5ab90d8955429916710eb0f1,4000,10,0.00021500000730156898,0.9998229316732544,462.0,8737.0,269.0,3998.0,0.9995,0.4575941398649422,78.76244325930068,2.0,2.0,1.0,1.0
greedy_refine,merge_10_4,10,5ab90d8955429916710eb0f1,4000,10,0.009140899870544672,0.999988971443996,462.0,8737.0,269.0,4000.0,1.0,0.4578230513906375,78.77552327337871,2.0,2.0,1.0,1.0
exact_dp,merge_10_4,10,5ab90d8955429916710eb0f1,8000,1,0.5508890999481082,1.0,462.0,8737.0,434.0,8000.0,1.0,0.915646102781275,104.3895014471891,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_4,10,5ab90d8955429916710eb0f1,8000,10,0.00022400007583200932,0.9998684928821218,462.0,8737.0,434.0,7993.0,0.999125,0.9148449124413415,104.37577348471704,2.0,2.0,1.0,1.0
greedy_refine,merge_10_4,10,5ab90d8955429916710eb0f1,8000,10,0.00482399994507432,1.0,462.0,8737.0,434.0,8000.0,1.0,0.915646102781275,104.3895014471891,2.0,2.0,1.0,1.0
exact_dp,merge_10_5,10,5a83411655429966c78a6b5d,2000,1,0.10363689996302128,1.0,519.0,9846.0,191.0,2000.0,1.0,0.20312817387771684,59.35461858776796,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_5,10,5a83411655429966c78a6b5d,2000,10,0.00020890007726848125,0.9996079817176138,519.0,9846.0,192.0,1998.0,0.999,0.20292504570383912,59.331350492137496,2.0,2.0,1.0,1.0
greedy_refine,merge_10_5,10,5a83411655429966c78a6b5d,2000,10,0.010886600008234382,0.9999961839531627,519.0,9846.0,192.0,2000.0,1.0,0.20312817387771684,59.354392087763415,2.0,2.0,1.0,1.0
exact_dp,merge_10_5,10,5a83411655429966c78a6b5d,4000,1,0.25385259999893606,1.0,519.0,9846.0,296.0,4000.0,1.0,0.4062563477554337,85.78687166408513,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_5,10,5a83411655429966c78a6b5d,4000,10,0.00023710005916655064,0.9997549901892703,519.0,9846.0,297.0,3998.0,0.9995,0.40605321958155594,85.76585303889561,2.0,2.0,1.0,1.0
greedy_refine,merge_10_5,10,5a83411655429966c78a6b5d,4000,10,0.009915799833834171,0.9999599768160695,519.0,9846.0,297.0,4000.0,1.0,0.4062563477554337,85.78343820034169,2.0,2.0,1.0,1.0
exact_dp,merge_10_5,10,5a83411655429966c78a6b5d,8000,1,0.5796618999447674,1.0,519.0,9846.0,459.0,8000.0,1.0,0.8125126955108674,116.54417439165088,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_5,10,5a83411655429966c78a6b5d,8000,10,0.000232999911531806,0.9997479673523414,519.0,9846.0,459.0,7994.0,0.99925,0.8119033109892342,116.51480145480977,2.0,2.0,1.0,1.0
greedy_refine,merge_10_5,10,5a83411655429966c78a6b5d,8000,10,0.006616800092160702,1.0,519.0,9846.0,459.0,8000.0,1.0,0.8125126955108674,116.54417439165088,2.0,2.0,1.0,1.0
exact_dp,merge_10_6,10,5ab6bf6d55429953192ad372,2000,1,0.10117199993692338,1.0,502.0,10179.0,178.0,2000.0,1.0,0.19648295510364475,42.95812864155019,3.0,3.0,1.0,1.0
greedy_ratio,merge_10_6,10,5ab6bf6d55429953192ad372,2000,10,0.0002470999024808407,0.9990470441212729,502.0,10179.0,178.0,1996.0,0.998,0.19608998919343748,42.91719144032211,3.0,3.0,1.0,1.0
greedy_refine,merge_10_6,10,5ab6bf6d55429953192ad372,2000,10,0.011150199919939041,0.999886429492121,502.0,10179.0,178.0,2000.0,1.0,0.19648295510364475,42.95324986506284,3.0,3.0,1.0,1.0
exact_dp,merge_10_6,10,5ab6bf6d55429953192ad372,4000,1,0.2548839000519365,1.0,502.0,10179.0,285.0,4000.0,1.0,0.3929659102072895,58.72672742276135,3.0,3.0,1.0,1.0
greedy_ratio,merge_10_6,10,5ab6bf6d55429953192ad372,4000,10,0.00024759978987276554,0.9997913016176131,502.0,10179.0,285.0,3998.0,0.9995,0.3927694272521859,58.714471249745344,3.0,3.0,1.0,1.0
greedy_refine,merge_10_6,10,5ab6bf6d55429953192ad372,4000,10,0.009301400044932961,0.9999877253609883,502.0,10179.0,285.0,4000.0,1.0,0.3929659102072895,58.7260065733819,3.0,3.0,1.0,1.0
exact_dp,merge_10_6,10,5ab6bf6d55429953192ad372,8000,1,0.5688990999478847,1.0,502.0,10179.0,445.0,8000.0,1.0,0.785931820414579,77.56077884913783,3.0,3.0,1.0,1.0
greedy_ratio,merge_10_6,10,5ab6bf6d55429953192ad372,8000,10,0.00022130017168819904,0.9995425643332051,502.0,10179.0,445.0,7988.0,0.9985,0.7847529226839571,77.52529978254785,3.0,3.0,1.0,1.0
greedy_refine,merge_10_6,10,5ab6bf6d55429953192ad372,8000,10,0.006301200017333031,0.9999604220497782,502.0,10179.0,445.0,8000.0,1.0,0.785931820414579,77.55770915249337,3.0,3.0,1.0,1.0
exact_dp,merge_10_7,10,5abbda84554299642a094b5b,2000,1,0.12105529988184571,1.0,556.0,10143.0,208.0,2000.0,1.0,0.19718032140392389,65.94444305794579,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_7,10,5abbda84554299642a094b5b,2000,10,0.0002272001001983881,0.999798890622232,556.0,10143.0,209.0,2000.0,1.0,0.19718032140392389,65.93118101203515,2.0,2.0,1.0,1.0
greedy_refine,merge_10_7,10,5abbda84554299642a094b5b,2000,10,0.004897699924185872,0.999798890622232,556.0,10143.0,209.0,2000.0,1.0,0.19718032140392389,65.93118101203515,2.0,2.0,1.0,1.0
exact_dp,merge_10_7,10,5abbda84554299642a094b5b,4000,1,0.2637082999572158,1.0,556.0,10143.0,324.0,4000.0,1.0,0.39436064280784777,94.66321475896487,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_7,10,5abbda84554299642a094b5b,4000,10,0.0002272001001983881,0.9999287047965804,556.0,10143.0,324.0,3999.0,0.99975,0.3942620526471458,94.65646572581227,2.0,2.0,1.0,1.0
greedy_refine,merge_10_7,10,5abbda84554299642a094b5b,4000,10,0.010480199940502644,0.9999994736808371,556.0,10143.0,324.0,4000.0,1.0,0.39436064280784777,94.66316493590092,2.0,2.0,1.0,1.0
exact_dp,merge_10_7,10,5abbda84554299642a094b5b,8000,1,0.6480320999398828,1.0,556.0,10143.0,492.0,8000.0,1.0,0.7887212856156955,130.82328542512647,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_7,10,5abbda84554299642a094b5b,8000,10,0.00025509996339678764,0.9997819405585749,556.0,10143.0,493.0,7996.0,0.9995,0.7883269249728877,130.79475817258128,2.0,2.0,1.0,1.0
greedy_refine,merge_10_7,10,5abbda84554299642a094b5b,8000,10,0.0077737001702189445,0.9999337376633999,556.0,10143.0,493.0,8000.0,1.0,0.7887212856156955,130.8146167685525,2.0,2.0,1.0,1.0
exact_dp,merge_10_8,10,5a7264ed5542990c210a411a,2000,1,0.09113079984672368,1.0,460.0,8952.0,160.0,2000.0,1.0,0.22341376228775692,51.05959803767187,3.0,2.0,0.6666666666666666,0.0
greedy_ratio,merge_10_8,10,5a7264ed5542990c210a411a,2000,10,0.00026389979757368565,0.9997062512685174,460.0,8952.0,161.0,1999.0,0.9995,0.22330205540661305,51.04459934551829,3.0,2.0,0.6666666666666666,0.0
greedy_refine,merge_10_8,10,5a7264ed5542990c210a411a,2000,10,0.009984599892050028,0.9999011236786075,460.0,8952.0,161.0,2000.0,1.0,0.22341376228775692,51.054549452446125,3.0,2.0,0.6666666666666666,0.0
exact_dp,merge_10_8,10,5a7264ed5542990c210a411a,4000,1,0.2222988000139594,1.0,460.0,8952.0,270.0,4000.0,1.0,0.44682752457551383,76.82933313973689,3.0,3.0,1.0,1.0
greedy_ratio,merge_10_8,10,5a7264ed5542990c210a411a,4000,10,0.00019829999655485153,0.9998145874975193,460.0,8952.0,271.0,3999.0,0.99975,0.44671581769436997,76.81508802081552,3.0,3.0,1.0,1.0
greedy_refine,merge_10_8,10,5a7264ed5542990c210a411a,4000,10,0.008324800059199333,0.9999031886513293,460.0,8952.0,271.0,4000.0,1.0,0.44682752457551383,76.82189518837816,3.0,3.0,1.0,1.0
exact_dp,merge_10_8,10,5a7264ed5542990c210a411a,8000,1,0.545842899940908,1.0,460.0,8952.0,434.0,8000.0,1.0,0.8936550491510277,106.62094902470132,3.0,3.0,1.0,1.0
greedy_ratio,merge_10_8,10,5a7264ed5542990c210a411a,8000,10,0.00022009992972016335,1.0,460.0,8952.0,434.0,8000.0,1.0,0.8936550491510277,106.62094902470132,3.0,3.0,1.0,1.0
greedy_refine,merge_10_8,10,5a7264ed5542990c210a411a,8000,10,0.0017750000115484,1.0,460.0,8952.0,434.0,8000.0,1.0,0.8936550491510277,106.62094902470132,3.0,3.0,1.0,1.0
exact_dp,merge_10_9,10,5a84995d5542997b5ce3fee4,2000,1,0.09508819994516671,1.0,467.0,9328.0,161.0,2000.0,1.0,0.2144082332761578,45.175057430496004,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_9,10,5a84995d5542997b5ce3fee4,2000,10,0.00020439992658793926,0.9987121566586903,467.0,9328.0,161.0,1995.0,0.9975,0.2138722126929674,45.116879033590855,2.0,2.0,1.0,1.0
greedy_refine,merge_10_9,10,5a84995d5542997b5ce3fee4,2000,10,0.009980199858546257,0.9999592705581507,467.0,9328.0,161.0,2000.0,1.0,0.2144082332761578,45.17321747562135,2.0,2.0,1.0,1.0
exact_dp,merge_10_9,10,5a84995d5542997b5ce3fee4,4000,1,0.22573620011098683,1.0,467.0,9328.0,271.0,4000.0,1.0,0.4288164665523156,63.83506008531765,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_9,10,5a84995d5542997b5ce3fee4,4000,10,0.00024170009419322014,0.9991859659488113,467.0,9328.0,271.0,3993.0,0.99825,0.42806603773584906,63.78309617274852,2.0,2.0,1.0,1.0
greedy_refine,merge_10_9,10,5a84995d5542997b5ce3fee4,4000,10,0.008465999970212579,1.0,467.0,9328.0,271.0,4000.0,1.0,0.4288164665523156,63.83506008531765,2.0,2.0,1.0,1.0
exact_dp,merge_10_9,10,5a84995d5542997b5ce3fee4,8000,1,0.5296804998070002,1.0,467.0,9328.0,428.0,8000.0,1.0,0.8576329331046312,85.6582644309841,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_9,10,5a84995d5542997b5ce3fee4,8000,10,0.00026100012473762035,0.9999342173720722,467.0,9328.0,428.0,7998.0,0.99975,0.8574185248713551,85.6526296052461,2.0,2.0,1.0,1.0
greedy_refine,merge_10_9,10,5a84995d5542997b5ce3fee4,8000,10,0.004768999991938472,0.999961482894216,467.0,9328.0,428.0,8000.0,1.0,0.8576329331046312,85.65496512255174,2.0,2.0,1.0,1.0
exact_dp,merge_10_10,10,5add67705542992ae4cec54f,2000,1,0.08376029995270073,1.0,417.0,8025.0,163.0,2000.0,1.0,0.24922118380062305,65.00313232180022,3.0,3.0,1.0,1.0
greedy_ratio,merge_10_10,10,5add67705542992ae4cec54f,2000,10,0.00018620002083480358,0.9999997580280192,417.0,8025.0,163.0,2000.0,1.0,0.24922118380062305,65.00311659286353,3.0,3.0,1.0,1.0
greedy_refine,merge_10_10,10,5add67705542992ae4cec54f,2000,10,0.003911799984052777,0.9999997580280192,417.0,8025.0,163.0,2000.0,1.0,0.24922118380062305,65.00311659286353,3.0,3.0,1.0,1.0
exact_dp,merge_10_10,10,5add67705542992ae4cec54f,4000,1,0.20539080002345145,1.0,417.0,8025.0,264.0,4000.0,1.0,0.4984423676012461,90.32382643841548,3.0,3.0,1.0,1.0
greedy_ratio,merge_10_10,10,5add67705542992ae4cec54f,4000,10,0.00023709982633590698,0.9998333029700956,417.0,8025.0,265.0,3998.0,0.9995,0.4981931464174455,90.3087697248186,3.0,3.0,1.0,1.0
greedy_refine,merge_10_10,10,5add67705542992ae4cec54f,4000,10,0.007077299989759922,0.9999979893662726,417.0,8025.0,265.0,4000.0,1.0,0.4984423676012461,90.32364483028365,3.0,3.0,1.0,1.0
exact_dp,merge_10_10,10,5add67705542992ae4cec54f,8000,1,0.4900447998661548,1.0,417.0,8025.0,416.0,7998.0,0.99975,0.9966355140186915,116.35773166826269,3.0,3.0,1.0,1.0
greedy_ratio,merge_10_10,10,5add67705542992ae4cec54f,8000,10,0.0001922000665217638,1.0,417.0,8025.0,416.0,7998.0,0.99975,0.9966355140186915,116.35773166826269,3.0,3.0,1.0,1.0
greedy_refine,merge_10_10,10,5add67705542992ae4cec54f,8000,10,0.0012483000755310059,1.0,417.0,8025.0,416.0,7998.0,0.99975,0.9966355140186915,116.35773166826269,3.0,3.0,1.0,1.0
exact_dp,merge_10_11,10,5a7be1ab5542997c3ec972a9,2000,1,0.1085952001158148,1.0,497.0,9332.0,204.0,2000.0,1.0,0.2143163309044149,60.74817634709157,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_11,10,5a7be1ab5542997c3ec972a9,2000,10,0.00021469988860189915,0.9998793685967867,497.0,9332.0,203.0,1999.0,0.9995,0.2142091727389627,60.74084820933618,2.0,2.0,1.0,1.0
greedy_refine,merge_10_11,10,5a7be1ab5542997c3ec972a9,2000,10,0.011472499929368496,0.999988954657938,497.0,9332.0,203.0,2000.0,1.0,0.2143163309044149,60.747505362704175,2.0,2.0,1.0,1.0
exact_dp,merge_10_11,10,5a7be1ab5542997c3ec972a9,4000,1,0.25980830006301403,1.0,497.0,9332.0,306.0,4000.0,1.0,0.4286326618088298,85.885043207114,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_11,10,5a7be1ab5542997c3ec972a9,4000,10,0.0002166999038308859,0.9996683629699933,497.0,9332.0,306.0,3997.0,0.99925,0.4283111873124732,85.85656054646279,2.0,2.0,1.0,1.0
greedy_refine,merge_10_11,10,5a7be1ab5542997c3ec972a9,4000,10,0.009129900019615889,0.9999990752187164,497.0,9332.0,306.0,4000.0,1.0,0.4286326618088298,85.8849637822335,2.0,2.0,1.0,1.0
exact_dp,merge_10_11,10,5a7be1ab5542997c3ec972a9,8000,1,0.5827178000472486,1.0,497.0,9332.0,460.0,8000.0,1.0,0.8572653236176596,115.36716719982509,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_11,10,5a7be1ab5542997c3ec972a9,8000,10,0.00023959996178746223,0.9998865698263928,497.0,9332.0,460.0,7994.0,0.99925,0.8566223746249464,115.35408108202104,2.0,2.0,1.0,1.0
greedy_refine,merge_10_11,10,5a7be1ab5542997c3ec972a9,8000,10,0.005850200075656176,0.9999697293114433,497.0,9332.0,460.0,7998.0,0.99975,0.8570510072867552,115.36367495623712,2.0,2.0,1.0,1.0
exact_dp,merge_10_12,10,5a7e0ed25542991319bc9424,2000,1,0.09467460005544126,1.0,436.0,8817.0,169.0,2000.0,1.0,0.22683452421458547,45.06820407031937,2.0,2.0,1.0,1.0
